round,num_clients,per_client_upload_bytes,total_upload_bytes,broadcast_bytes,total_round_bytes,centralized_equiv_bytes,savings_pct
1,10,63508,635080,635080,1270160,24356788,94.78519088805962
2,10,63508,635080,635080,1270160,24356788,94.78519088805962
3,10,63508,635080,635080,1270160,24356788,94.78519088805962
4,10,63508,635080,635080,1270160,24356788,94.78519088805962
5,10,63508,635080,635080,1270160,24356788,94.78519088805962
