session_id,round,num_clients,num_dropped,per_client_upload_bytes,total_upload_bytes,broadcast_bytes,total_round_bytes,centralized_equiv_bytes,savings_pct
20260306_182926,1,8,2,63508,508064,508064,1016128,24356788,95.83
20260306_182926,2,9,1,63508,571572,571572,1143144,24356788,95.31
20260306_182926,3,10,0,63508,635080,635080,1270160,24356788,94.79
20260306_182926,4,10,0,63508,635080,635080,1270160,24356788,94.79
20260306_182926,5,7,3,63508,444556,444556,889112,24356788,96.35
